no_of_parent_edges	no_of_children_edges	Exp_parent_mean	CIG_distance_parent_mean	CIG_distance_parent_CV	Exp_child_median	EXP	CIG_distance	label
19.0	57.0	0.0	-1.075	-1.759	0.0	1.433	-1.898	0
927.0	394.0	0.0	1.691	1.333	0.0	-0.909	1.782	0
3153.0	325.0	0.0	1.61	1.068	0.0	8.273	5.721	0
13.0	185.0	0.0	1.35	2.373	0.0	-4.356	1.12	0
1720.0	310.0	0.0	2.647	0.947	0.0	-6.741	1.357	0
87.0	99.0	0.0	2.326	0.635	0.0	1.735	-0.24	0
112.0	715.0	0.0	2.24	0.929	0.0	3.48	-0.46	0
712.0	553.0	0.0	1.762	1.151	0.0	0.833	3.576	0
1838.0	246.0	0.0	1.448	1.738	0.0	-0.854	3.362	0
2368.0	389.0	0.0	1.055	1.785	0.0	-0.644	4.056	0
1332.0	712.0	0.0	1.119	2.049	0.0	-5.165	0.425	0
43.0	679.0	0.0	1.962	0.965	0.0	1.739	3.723	0
0.0	26.0	0.0	0.0	0.0	0.0	0.0	-3.897	0
61.0	416.0	0.0	3.31	0.522	0.0	1.149	1.925	0
2283.0	587.0	0.0	0.933	2.459	0.0	0.594	2.946	0
939.0	466.0	0.0	1.474	1.638	0.0	1.111	-1.026	0
34.0	128.0	0.0	2.425	0.545	0.0	0.86	2.061	0
2159.0	285.0	0.0	1.415	1.221	0.0	1.349	1.27	0
2764.0	373.0	0.0	1.449	1.19	0.0	1.92	1.095	0
79.0	862.0	0.0	1.503	1.048	0.0	4.193	1.368	0
1180.0	1972.0	0.0	1.857	1.134	0.0	7.523	4.498	0
425.0	431.0	0.0	0.733	3.515	0.0	-2.547	0.017	0
1019.0	210.0	0.0	1.597	1.3	0.0	-0.378	6.097	0
881.0	598.0	0.0	2.747	0.986	0.0	-2.458	2.777	0
0.0	115.0	0.0	0.0	0.0	0.0	0.0	-7.867	0
16.0	112.0	0.0	2.33	0.687	0.0	1.628	0.558	0
72.0	918.0	0.0	2.246	0.958	0.0	0.963	0.836	0
84.0	208.0	0.0	2.8	0.71	0.0	3.443	4.064	0
63.0	266.0	0.0	2.411	0.72	0.0	4.914	1.341	0
45.0	551.0	0.0	1.495	2.09	0.0	2.538	0.111	0
1886.0	7901.0	0.0	1.372	1.287	0.0	1.442	3.093	0
